 approach_a , approach_b 
0,0
0,0
654988.8619,0
0,0
472751.5249,2130225.822
253713.7491,10267967.89
1000950.986,0
402964.3232,0
422901.2988,5346708.842
0,0
1660020.869,0
2424490.7,0
2181446.839,0
69023.96429,0
484778.3896,0
792383.5743,4008942.075
435122.3238,4048852.213
1681803.621,0
479199.8279,9373155.111
494865.1543,8418145.845
0,0
767174.7302,7149215.711
1096091.047,0
876579.504,0
111973.188,0
841383.9627,0
1381843.934,0
0,0
1166619.738,0
232906.1824,0
461428.455,0
198275.2547,0
779057.9373,6000647.191
0,5291601.564
505118.7458,0
0,0
528294.7423,9050761.035
328171.6907,0
272877.4404,0
0,0
0,0
1178306.005,0
1139937.983,7628384.617
684662.2455,16419824.14
2241752.825,0
869853.0523,0
520872.281,8291011.488
212364.4842,0
307342.6243,0
199497.0903,0
0,0
644503.7477,0
878931.1515,0
592758.1593,0
446676.2319,0
546850.2285,0
2460208.183,4393441.182
368619.4273,0
0,0
843227.158,5225687.577
1406424.326,4250797.095
752293.3982,0
623018.3481,0
0,0
311930.3082,0
1434955.178,0
73768.57207,0
398484.5591,0
220878.6774,7644467.674
258281.0308,0
353294.1976,0
797051.7977,0
0,0
94360.93129,0
2419078.819,0
0,0
1042743.984,10553417.59
564356.6593,0
411420.1124,0
191563.5696,0
369169.2597,0
0,0
982169.5653,10523775.79
4725038.705,0
564125.1919,0
569987.5797,3546840.632
391809.4371,0
623378.884,0
760141.2661,8320845.885
1512291.377,0
459879.1474,2366700.101
1723237.234,6086319.978
328052.602,0
220760.5402,0
261896.6298,0
650215.8755,0
368333.6025,0
166849.1663,0
1488317.476,7792024.592
321697.9146,3193599.746
1817477.171,0
80185.77356,0
606826.5399,0
262632.0393,0
1081518.347,0
0,0
265119.3853,0
373087.5664,0
412525.0006,4071130.516
485345.5369,0
1441184.27,0
625464.9506,0
0,0
485612.0931,0
948653.0027,0
495086.6358,0
662712.5824,0
120390.4693,0
649132.5365,6013831.351
717406.5864,6980577.032
1686635.381,3962500.086
1783956.381,0
1125051.567,0
0,0
433762.6711,0
0,0
1138182.372,0
273304.3585,0
461766.7062,0
271992.1958,0
319934.7028,7150661.066
1185554.24,9155269.17
1642875.309,0
674538.2923,8770655.127
1715979.52,6326795.735
608828.6013,0
199801.1305,0
1095422.493,5995631.169
0,0
1743135.98,3380678.605
612249.5901,7241666.88
123311.4603,0
829417.6979,5126863.46
805457.1599,0
646321.1671,0
0,0
0,0
526344.0669,0
0,0
0,1923736.986
264056.5654,0
1435991.101,4908389.409
1274981.457,0
713665.3954,0
2473072.025,0
357779.4553,0
302557.409,11153594.68
0,0
323164.4237,0
517604.5271,0
1053428.807,0
