Simulation Run,Loss Event Frequency,Annualized Risk ($),Secondary Response ($),Fines and Judgements ($),Reputation ($),Primary Response ($)
1,0.751457018,49331.90295,266.5896814,205.6336419,373.9075524,37390.75524
2,0.592619365,13580.79761,373.4554754,302.1597197,816.1431456,81614.31456
3,1.057287423,37367.26565,505.0598245,481.778452,1022.372059,102237.2059
4,1.679678105,97963.83978,422.2117225,339.0660734,546.4951659,54649.51659
5,1.165961765,28251.0277,258.1960279,126.9659898,494.4687796,49446.87796
6,0.996888036,38951.90482,211.3334647,112.6568063,289.7174635,28971.74635
7,0.545349277,34181.74071,452.2815768,250.1750453,627.8390608,62783.90608
8,1.427825647,78971.01666,134.0104108,77.61866835,208.1157335,20811.57335
9,1.279405484,39574.39266,265.1274007,270.2622752,562.5459314,56254.59314
10,0.830561591,40170.79785,435.3017811,240.4013911,943.8102884,94381.02884
11,0.735584175,28812.52022,144.3279095,244.2938125,234.9095741,23490.95741
12,1.4238876,61381.32328,269.2341564,308.0247965,374.5018615,37450.18615
13,1.412608547,43484.62192,484.0840246,264.8961795,991.7712048,99177.12048
14,1.228970973,46802.30314,265.4163875,383.3834159,363.1069347,36310.69347
15,0.789160496,34710.57787,373.3632155,216.5719062,675.5885557,67558.85557
16,0.35597639,9098.552755,193.934519,244.1875688,301.1977224,30119.77224
17,0.64854345,30431.80087,453.0983786,393.9018944,844.0443639,84404.43639
18,1.030984455,37652.18636,157.9136539,125.4535319,325.3885043,32538.85043
19,0.78296133,25840.28026,288.1861469,262.6471159,425.5515178,42555.15178
20,0.725206284,36320.56971,278.1560132,292.7616064,386.5564691,38655.64691
21,1.168384438,53099.87901,215.4113112,182.9017574,444.273086,44427.3086
22,1.246178907,66736.95022,152.429537,90.67955715,225.622649,22562.2649
23,0.998655702,40397.63517,261.3673349,379.8856051,349.4183221,34941.83221
24,1.559902516,60613.819,521.2702784,173.8824937,1022.352034,102235.2034
25,1.570388249,49255.26376,221.4074784,246.5593927,406.0352818,40603.52818
26,1.082946712,43997.03704,276.4295391,298.8367251,478.6546303,47865.46303
27,0.546156671,34914.43202,450.3039505,255.0605864,860.1008203,86010.08203
